id;title;slug;feature_image;valid_from;valid_through;status;created_by;created_date;update_date;update_by
1;across;incidentally hector into;animated;2023-12-23T16:36:46;2023-12-23T18:37:25;PUBLISHED;423;2023-12-23T19:19:13;2023-12-23T13:42:22;791
2;firsthand;modest composed;rectangular supposing;2023-12-24T09:11:26;2023-12-23T20:30:59;DRAFT;23562;2023-12-24T02:39:30;2023-12-23T17:46:13;8957
3;career ethical;concerning comment;twin uselessly;2023-12-23T20:17:52;2023-12-23T18:57:21;TRASHED;19723;2023-12-23T12:48:20;2023-12-23T15:56:14;19933
4;strictly provided;whether;hop till;2023-12-24T03:46:24;2023-12-24T03:48:34;TO;6511;2023-12-23T16:27:53;2023-12-24T05:08:40;16043
5;succour summon align;uh-huh;physically capital;2023-12-23T22:22:01;2023-12-24T05:01:14;TO;28693;2023-12-23T18:55:04;2023-12-24T05:37:17;10276
6;streetcar;blindly pasture;oof indeed collaborate;2023-12-23T14:10:23;2023-12-24T04:52:26;PUBLISHED;31010;2023-12-24T10:41:17;2023-12-24T00:37:20;11105
7;seemingly;naturally whereas gee;gratefully regard ward;2023-12-24T00:14:59;2023-12-24T08:20:26;TRASHED;13250;2023-12-23T18:44:00;2023-12-24T04:52:11;17385
8;sigh hmph fat;shrilly herb;lest overdevelop;2023-12-23T21:32:23;2023-12-24T08:20:57;BE;14851;2023-12-24T01:58:46;2023-12-24T03:28:48;22235
9;qua;consequently;ballpark;2023-12-24T10:48:10;2023-12-23T21:04:30;BE;7043;2023-12-23T23:23:34;2023-12-24T09:10:14;15742
10;midst above;righteously pish giving;bead inlay;2023-12-23T18:51:49;2023-12-24T00:21:01;PUBLISHED;15724;2023-12-24T11:40:27;2023-12-24T06:31:24;22348
